agency_id,route_id,route_short_name,route_long_name,route_type,route_desc
GI,6,10,PALÁCIO DA JUSTIÇA - HOSPITAL SOBRAL CID (via Ceira),3,PALÁCIO DA JUSTIÇA - HOSPITAL SOBRAL CID (via Ceira)
GI,7,10,PALÁCIO DA JUSTIÇA - HOSPITAL SOBRAL CID (via Ceira),3,PALÁCIO DA JUSTIÇA - HOSPITAL SOBRAL CID (via Ceira)
GI,10,7T,PALÁCIO DA JUSTIÇA - TOVIM,3,PALÁCIO DA JUSTIÇA - TOVIM
GI,11,7T,PALÁCIO DA JUSTIÇA - TOVIM,3,PALÁCIO DA JUSTIÇA - TOVIM
GI,12,7,ARNADO - TOVIM,3,ARNADO - TOVIM
GI,13,7,ARNADO - TOVIM,3,ARNADO - TOVIM
GI,14,24T,PALÁCIO DA JUSTIÇA - QUINTA DA NORA,3,PALÁCIO DA JUSTIÇA - QUINTA DA NORA
GI,17,24T,PALÁCIO DA JUSTIÇA - QUINTA DA NORA,3,PALÁCIO DA JUSTIÇA - QUINTA DA NORA
GI,18,24T,PALÁCIO DA JUSTIÇA - QUINTA DA NORA,3,PALÁCIO DA JUSTIÇA - QUINTA DA NORA
GI,19,38,SANTA CLARA - POLO II DA UNIVERSIDADE (via Portagem),3,SANTA CLARA - POLO II DA UNIVERSIDADE (via Portagem)
GI,20,244,LINHA BOTÂNICO (SANTA CLARA - UNIVERSIDADE / via Jardim Botânico),3,LINHA BOTÂNICO (SANTA CLARA - UNIVERSIDADE / via Jardim Botânico)
GI,21,244,LINHA BOTÂNICO (SANTA CLARA - UNIVERSIDADE / via Jardim Botânico),3,LINHA BOTÂNICO (SANTA CLARA - UNIVERSIDADE / via Jardim Botânico)
GI,23,24T,PALÁCIO DA JUSTIÇA - QUINTA DA NORA,3,PALÁCIO DA JUSTIÇA - QUINTA DA NORA
GI,24,10,PALÁCIO DA JUSTIÇA - HOSPITAL SOBRAL CID (via Ceira),3,PALÁCIO DA JUSTIÇA - HOSPITAL SOBRAL CID (via Ceira)
GI,25,6,HOSPITAL DOS COVÕES - HOSPITAIS DA UNIVERSIDADE DE COIMBRA (via Santa Clara),3,HOSPITAL DOS COVÕES - HOSPITAIS DA UNIVERSIDADE DE COIMBRA (via Santa Clara)
GI,26,6,HOSPITAL DOS COVÕES - HOSPITAIS DA UNIVERSIDADE DE COIMBRA (via Santa Clara),3,HOSPITAL DOS COVÕES - HOSPITAIS DA UNIVERSIDADE DE COIMBRA (via Santa Clara)
