stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc
1,1000,Estação Coimbra-B (Rua do Padrão),40.222287,-8.439532,Estação Coimbra-B (Rua do Padrão)
2,1001,Eiras (Quinta do Murtal),40.254709,-8.427882,Eiras (Quinta do Murtal)
3,1002,Carvalhais (Rua Santa Isabel),40.168269,-8.435414,Carvalhais (Rua Santa Isabel)
4,1003,Carvalhais (Rua Santa Isabel),40.167161,-8.434506,Carvalhais (Rua Santa Isabel)
8,1007,Ribeira de Frades (Santa Eufémia) (1),40.199892,-8.496579,Ribeira de Frades (Santa Eufémia) (1)
9,1008,Ribeira de Frades (Santa Eufémia) (2),40.197887,-8.49616,Ribeira de Frades (Santa Eufémia) (2)
10,1009,Ribeira de Frades (Santa Eufémia) (2),40.198151,-8.496186,Ribeira de Frades (Santa Eufémia) (2)
11,1010,Ribeira de Frades (Santa Eufémia) (3),40.19541,-8.496132,Ribeira de Frades (Santa Eufémia) (3)
12,1011,Ribeira de Frades (Santa Eufémia) (3),40.19619,-8.496065,Ribeira de Frades (Santa Eufémia) (3)
13,1012,Taveiro (Escola),40.194207,-8.500482,Taveiro (Escola)
14,1013,Ameal (Quinta do Conde),40.187382,-8.547225,Ameal (Quinta do Conde)
15,1014,Arzila (Centro),40.183824,-8.550542,Arzila (Centro)
16,1015,Ameal (Quinta do Conde),40.187485,-8.546976,Ameal (Quinta do Conde)
17,1016,Arzila (Rua de Condeixa),40.181723,-8.550062,Arzila (Rua de Condeixa)
18,1017,Arzila (Rua de Condeixa),40.182286,-8.549986,Arzila (Rua de Condeixa)
19,1018,Arzila (Rua de Coimbra),40.185307,-8.548925,Arzila (Rua de Coimbra)
20,1019,Arzila (Rua de Coimbra),40.185597,-8.548585,Arzila (Rua de Coimbra)
21,1020,Arzila (Centro),40.183892,-8.550869,Arzila (Centro)
22,1021,Arzila (Lameira),40.179306,-8.545028,Arzila (Lameira)
23,1022,Ameal (Cemitério),40.191808,-8.53784,Ameal (Cemitério)
24,1023,Ameal (Centro),40.190529,-8.543093,Ameal (Centro)
25,1024,Ameal (Centro),40.190626,-8.543202,Ameal (Centro)
26,1025,Ameal (Cemitério),40.191731,-8.537534,Ameal (Cemitério)
27,1026,Ameal (Rua Principal),40.189237,-8.54504,Ameal (Rua Principal)
28,1027,Ameal (Rua Principal),40.189361,-8.544791,Ameal (Rua Principal)
29,1028,Vila Pouca do Campo (Rua Principal),40.195196,-8.527643,Vila Pouca do Campo (Rua Principal)
30,1029,Vila Pouca do Campo (Escola),40.190628,-8.522218,Vila Pouca do Campo (Escola)
31,1030,Vila Pouca do Campo (Rua Principal),40.195269,-8.527079,Vila Pouca do Campo (Rua Principal)
32,1031,Vila Pouca do Campo (Arneiros),40.196228,-8.52318,Vila Pouca do Campo (Arneiros)
33,1032,Vila Pouca do Campo (Arneiros),40.196141,-8.523521,Vila Pouca do Campo (Arneiros)
