route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
554,Domingos e Feriados,717,Estação Coimbra-B (Rua do Padrão),1,15141
174,Domingos e Feriados,615,Arzila (Centro),0,15092
176,Domingos e Feriados,421,Arzila (Centro),0,13988
176,Domingos e Feriados,424,Arzila (Centro),0,13988
176,Domingos e Feriados,434,Arzila (Centro),0,13988
184,Sabados,1189,Arzila (Centro),0,13459
184,Sabados,1423,Arzila (Centro),0,13459
176,Sabados,1426,Arzila (Centro),0,13988
167,Sabados,1428,Arzila (Centro),0,15068
176,Sabados,1434,Arzila (Centro),0,13988
167,Sabados,1444,Arzila (Centro),0,15068
176,Sabados,1446,Arzila (Centro),0,13988
173,Sabados,1453,Arzila (Centro),0,15091
176,Sabados,1455,Arzila (Centro),0,13988
167,Sabados,1636,Arzila (Centro),0,15068
167,Sabados,1638,Arzila (Centro),0,15068
167,Sabados,1640,Arzila (Centro),0,15068
176,Sabados,1643,Arzila (Centro),0,13988
176,Sabados,1645,Arzila (Centro),0,13988
176,Sabados,1648,Arzila (Centro),0,13988
176,Sabados,1650,Arzila (Centro),0,13988
165,23/03/2026,3006,Arzila (Centro),0,14914
184,23/03/2026,3333,Arzila (Centro),0,13459
178,23/03/2026,3335,Arzila (Centro),0,15071
179,23/03/2026,3337,Arzila (Centro),0,15072
169,23/03/2026,3342,Arzila (Centro),0,15069
178,23/03/2026,3344,Arzila (Centro),0,15071
169,23/03/2026,3347,Arzila (Centro),0,15069
178,23/03/2026,3352,Arzila (Centro),0,15071
178,23/03/2026,3357,Arzila (Centro),0,15071
171,23/03/2026,3362,Arzila (Centro),0,15070
178,23/03/2026,3365,Arzila (Centro),0,15071
182,23/03/2026,3367,Arzila (Centro),0,15075
165,23/03/2026,3371,Arzila (Centro),0,14914
163,23/03/2026,3578,Arzila (Centro),0,13985
176,23/03/2026,3576,Arzila (Centro),0,13988
178,23/03/2026,3681,Arzila (Centro),0,15071
165,Dias Uteis,5395,Arzila (Centro),0,14914
184,Dias Uteis,5722,Arzila (Centro),0,13459
178,Dias Uteis,5724,Arzila (Centro),0,15071
179,Dias Uteis,5726,Arzila (Centro),0,15072
169,Dias Uteis,5731,Arzila (Centro),0,15069
178,Dias Uteis,5733,Arzila (Centro),0,15071
169,Dias Uteis,5736,Arzila (Centro),0,15069
178,Dias Uteis,5741,Arzila (Centro),0,15071
178,Dias Uteis,5746,Arzila (Centro),0,15071
171,Dias Uteis,5751,Arzila (Centro),0,15070
178,Dias Uteis,5754,Arzila (Centro),0,15071
