BGRI2021,N_INDIVIDUOS,supply_departures,dep_per_1000_pop,pop_per_departure,underservice_score
06032400104,253.0,0.0,0.0,inf,253.0
06032400109,145.0,0.0,0.0,inf,145.0
06032000107,140.0,0.0,0.0,inf,140.0
06031100205,139.0,0.0,0.0,inf,139.0
06033200204,139.0,0.0,0.0,inf,139.0
06032400218,138.0,0.0,0.0,inf,138.0
06032400103,134.0,0.0,0.0,inf,134.0
06032000211,130.0,0.0,0.0,inf,130.0
06032000105,127.0,0.0,0.0,inf,127.0
06033700107,123.0,0.0,0.0,inf,123.0
06033200317,121.0,0.0,0.0,inf,121.0
06032000213,121.0,0.0,0.0,inf,121.0
06032000108,111.0,0.0,0.0,inf,111.0
06033800910,111.0,0.0,0.0,inf,111.0
06033600605,108.0,0.0,0.0,inf,108.0
06032400102,107.0,0.0,0.0,inf,107.0
06033200203,107.0,0.0,0.0,inf,107.0
06031100122,101.0,0.0,0.0,inf,101.0
06032400119,101.0,0.0,0.0,inf,101.0
06032400220,100.0,0.0,0.0,inf,100.0
06032400117,100.0,0.0,0.0,inf,100.0
06033700232,98.0,0.0,0.0,inf,98.0
06032400216,96.0,0.0,0.0,inf,96.0
06032000102,96.0,0.0,0.0,inf,96.0
06033200216,95.0,0.0,0.0,inf,95.0
06033700118,92.0,0.0,0.0,inf,92.0
06033700206,92.0,0.0,0.0,inf,92.0
06031802613,91.0,0.0,0.0,inf,91.0
06033700207,91.0,0.0,0.0,inf,91.0
06032400101,90.0,0.0,0.0,inf,90.0
06032400222,90.0,0.0,0.0,inf,90.0
06032400210,89.0,0.0,0.0,inf,89.0
06033700115,88.0,0.0,0.0,inf,88.0
06033700124,88.0,0.0,0.0,inf,88.0
06032000209,86.0,0.0,0.0,inf,86.0
06033200309,86.0,0.0,0.0,inf,86.0
06033200208,84.0,0.0,0.0,inf,84.0
06031100320,83.0,0.0,0.0,inf,83.0
06032000104,83.0,0.0,0.0,inf,83.0
06032400213,82.0,0.0,0.0,inf,82.0
06033600405,80.0,0.0,0.0,inf,80.0
06033200225,80.0,0.0,0.0,inf,80.0
06032400207,78.0,0.0,0.0,inf,78.0
06033200302,76.0,0.0,0.0,inf,76.0
06034000329,76.0,0.0,0.0,inf,76.0
06032400110,76.0,0.0,0.0,inf,76.0
06033200209,75.0,0.0,0.0,inf,75.0
06032400203,75.0,0.0,0.0,inf,75.0
06033200103,73.0,0.0,0.0,inf,73.0
06033700111,73.0,0.0,0.0,inf,73.0
06031100217,72.0,0.0,0.0,inf,72.0
06033200102,72.0,0.0,0.0,inf,72.0
06032000116,72.0,0.0,0.0,inf,72.0
06033501713,71.0,0.0,0.0,inf,71.0
06030900108,71.0,0.0,0.0,inf,71.0
06032400204,71.0,0.0,0.0,inf,71.0
06033700121,71.0,0.0,0.0,inf,71.0
06031200410,70.0,0.0,0.0,inf,70.0
06032400212,70.0,0.0,0.0,inf,70.0
06033700110,69.0,0.0,0.0,inf,69.0
